themeCode,themeName,stockCode,stockName,info
105,사료,A003310,대주산업,"동물식용 배합사료(주요 상표 : 코끼리표, 도그랑 등) 제조 및 판매업체."
105,사료,A008040,사조동아원,"사조그룹 계열사로 양계, 양돈 등의 배합사료 제조 및 판매업체."
105,사료,A025880,케이씨피드,"양계용, 양돈용, 축우용 등의 가축가금용 배합사료 제조업체. 주요 상표로 톱플러스(양계용), 한돈애(양돈용), 하누애(축우용) 등이 있음."
105,사료,A036580,팜스코,"하림그룹 계열사로 배합사료(주요상표: 팜스프로, 리더스, 메이드, 도그닥터, 피그원 등) 전문업체."
105,사료,A027710,팜스토리,이지바이오 계열사로 사료사업(배합사료 제조 및 판매) 영위.
105,사료,A035810,이지바이오,"천연제제의 동물약품, 기능성첨가제, 배합사료를 생산/판매/유통하는 업체. 글로벌 유수의 다국적기업과 국내 독점 대리점 계약을 체결해 고품질의 기능성 첨가제를 공급중. 사료제조 및 판매업체 팜스토리(구 도드람B&F)의 최대주주."
105,사료,A060590,씨티씨바이오,"미생물배양과 발효기술, 제약기술 등의 생명공학분야 전문 연구기업. 단미보조 사료, 사료첨가제 등을 생산/판매 중."
105,사료,A136490,선진,옛 선진에서 인적 분할된 배합사료 및 축산물 제조업체. 선진사료라는 상표의 배합사료 및 선진포크 브랜드의 식육제품을 생산/판매중.
105,사료,A018620,우진비앤지,사료첨가제를 생산하여 국내 사료공장 등에 납품중.
105,사료,A218150,미래생명자원,"단미사료(기능성 원료, 특수가공 원료) 및 보조사료(기능성 첨가제) 등을 생산하는 사료부문(동물자원사업부문)을 주력으로 영위. 기능성 식품(오렌지에그 등)의 제조 및 유통을 영위하는 식품유통사업(생명자원사업부문)도 영위."
105,사료,A016790,현대사료,"동물용 사료 제조업체. 배합사료(양계,양돈,오리 등) 제조판매업을 주요 사업으로 영위하고 있으며, 특히 산란계 사료부문에서 약 7.4%(2018년 기준) 점유율 차지."
106,바이오인식(생체인식),A010820,퍼스텍,"출입통제기 시스템, 얼굴인식 보안 응용 솔루션 등의 시스템사업 영위. 2003년 국내 최초로 얼굴인식 시장에 진출. 얼굴인식 출입통제 시스템인 ""Vision Gate""시리즈를 공공건물과 기업, 아파트 등에 공급. 국내에서 최초로 KISA로부터 얼굴인식 성능 인증을 받은 바 있으며, 스마트폰용 자동 얼굴 인식 모바일 앱어플리케이션, 얼굴인식 PC보안 시스템 등을 개발."
106,바이오인식(생체인식),A114120,크루셜텍,사용자의 지문을 인식해 마우스처럼 커서를 움직일 수 있도록 해주는 모바일 기기 전용 입력장치인 옵티컬 트랙패드(OTP) 및 OTP에 지문인식 기능을 추가한 바이오메트릭 트랙패드(BTP)를 주요제품으로 생산.
106,바이오인식(생체인식),A236200,슈프리마,"기존 슈프리마가 바이오인식 시스템 및 바이오인식 솔루션 사업을 분할함에 따라 재상장된 업체. 바이오인식 알고리즘, 모듈 등 각종 솔루션 제품과 바이오인식 단말기, 소프트웨어 등의 응용 시스템 사업 영위."
106,바이오인식(생체인식),A047310,파워로직스,"2차전지 보호회로 및 카메라 모듈 제조업체. 근거리용 홍채인식 카메라모듈을 개발 완료했으며, 중장거리용 홍채인식 카메라모듈 개발중."
106,바이오인식(생체인식),A111870,삼본전자,인도 생체정보 수집 프로젝트인 아드하르(Aadhaar) 프로젝트에 참여 경험 보유.
106,바이오인식(생체인식),A064800,필링크,홍채인식 기술 관련 특허권 보유.
106,바이오인식(생체인식),A076610,해성옵틱스,"렌즈 및 카메라 모듈 등 광학부품 전문업체. 홍채 인식 관련 특허권을 다수 보유하고 있으며, CES2014에서 홍채인식 카메라모듈 공개. 삼본정밀전자를 통해 인도 생체정보 수집 프로젝트인 아드하르(Aadhaar) 프로젝트에 참여 경험 보유."
106,바이오인식(생체인식),A078650,코렌,비구면 광학렌즈 설계 및 양산기술을 바탕으로 휴대폰용 카메라렌즈를 주력으로 생산하는 업체. 삼성전자 ‘갤럭시 노트7’에 홍채인식렌즈 납품.
